month,fuel,energy_MWh,year
2011-08,coal,641036.563,2011
2011-08,distillate,70.137,2011
2011-08,gas,722466.9180000001,2011
2011-08,other,0.0,2011
2011-08,wind,74806.906,2011
2011-09,bio,4431.785,2011
2011-09,coal,638143.909,2011
2011-09,distillate,3.702,2011
2011-09,gas,633077.47,2011
2011-09,other,0.222,2011
2011-09,wind,92206.358,2011
2011-10,bio,4346.299,2011
2011-10,coal,662337.771,2011
2011-10,distillate,2.472,2011
2011-10,gas,579537.627,2011
2011-10,other,0.0,2011
2011-10,wind,98410.447,2011
2011-11,bio,4028.233,2011
2011-11,coal,619792.023,2011
2011-11,distillate,29.736,2011
2011-11,gas,636984.97,2011
2011-11,other,0.0,2011
2011-11,wind,115238.601,2011
2011-12,bio,5425.929,2011
2011-12,coal,713409.737,2011
2011-12,distillate,9.873,2011
2011-12,gas,703219.715,2011
2011-12,other,0.0,2011
2011-12,wind,116392.703,2011
2012-01,bio,7287.370999999999,2012
2012-01,coal,757586.325,2012
2012-01,distillate,51.708999999999996,2012
2012-01,gas,836290.6839999999,2012
2012-01,other,4.006,2012
2012-01,wind,139177.49500000002,2012
2012-02,bio,5662.775,2012
2012-02,coal,758808.872,2012
2012-02,distillate,10.697,2012
2012-02,gas,698864.855,2012
2012-02,other,20.964,2012
2012-02,wind,112820.30500000001,2012
2012-03,bio,7380.799,2012
2012-03,coal,744712.144,2012
2012-03,distillate,228.90599999999998,2012
2012-03,gas,680819.216,2012
2012-03,other,0.0,2012
2012-03,wind,137406.624,2012
2012-04,bio,7103.539000000001,2012
2012-04,coal,693682.297,2012
2012-04,distillate,13.565,2012
2012-04,gas,576515.52,2012
2012-04,other,0.895,2012
2012-04,wind,96206.82500000001,2012
2012-05,bio,7097.49,2012
2012-05,coal,712814.326,2012
2012-05,distillate,0.0,2012
2012-05,gas,652340.838,2012
2012-05,other,0.0,2012
2012-05,wind,94979.274,2012
2012-06,bio,6645.4529999999995,2012
2012-06,coal,687418.5869999999,2012
2012-06,distillate,0.0,2012
2012-06,gas,657114.467,2012
2012-06,other,0.0,2012
2012-06,wind,103498.145,2012
2012-07,bio,11182.682,2012
2012-07,coal,701950.7760000001,2012
2012-07,distillate,0.0,2012
2012-07,gas,791128.126,2012
2012-07,other,528.0,2012
2012-07,wind,64512.85,2012
2012-08,bio,10675.916,2012
2012-08,coal,733536.0800000001,2012
2012-08,distillate,34.400999999999996,2012
2012-08,gas,674449.054,2012
2012-08,other,0.0,2012
2012-08,solar,897.366,2012
2012-08,wind,83329.624,2012
2012-09,bio,11279.458,2012
2012-09,coal,719546.306,2012
2012-09,distillate,42.738,2012
2012-09,gas,501762.304,2012
2012-09,other,0.0,2012
2012-09,solar,1866.607,2012
2012-09,wind,119836.446,2012
2012-10,bio,11406.64,2012
2012-10,coal,643093.3740000001,2012
2012-10,distillate,130.236,2012
2012-10,gas,631864.715,2012
2012-10,other,0.0,2012
2012-10,solar,2144.882,2012
2012-10,wind,119983.119,2012
2012-11,bio,10712.813,2012
2012-11,coal,645977.748,2012
2012-11,distillate,501.313,2012
2012-11,gas,609308.438,2012
2012-11,other,0.0,2012
2012-11,solar,2168.406,2012
2012-11,wind,119213.681,2012
2012-12,bio,11201.065,2012
2012-12,coal,751592.767,2012
2012-12,distillate,7.728,2012
2012-12,gas,718491.357,2012
2012-12,other,0.0,2012
2012-12,solar,2173.341,2012
2012-12,wind,111808.628,2012
2013-01,bio,10823.606,2013
2013-01,coal,820303.048,2013
2013-01,distillate,352.948,2013
2013-01,gas,700116.2710000001,2013
2013-01,other,0.0,2013
2013-01,solar,2251.899,2013
2013-01,wind,142909.16999999998,2013
2013-02,bio,9077.654,2013
2013-02,coal,807263.648,2013
2013-02,distillate,95.344,2013
2013-02,gas,658897.895,2013
2013-02,other,0.0,2013
2013-02,solar,1962.803,2013
2013-02,wind,121031.98999999999,2013
2013-03,bio,10018.23,2013
2013-03,coal,826014.821,2013
2013-03,distillate,132.555,2013
2013-03,gas,555709.5669999999,2013
2013-03,other,0.0,2013
2013-03,solar,2047.772,2013
2013-03,wind,116099.58200000001,2013
2013-04,bio,10798.375,2013
2013-04,coal,838465.574,2013
2013-04,distillate,2732.008,2013
2013-04,gas,529039.1529999999,2013
2013-04,other,0.0,2013
2013-04,solar,1658.95,2013
2013-04,wind,76298.73800000001,2013
2013-05,bio,10699.241,2013
2013-05,coal,794128.361,2013
2013-05,distillate,12.959999999999999,2013
2013-05,gas,524558.056,2013
2013-05,other,0.0,2013
2013-05,solar,1520.977,2013
2013-05,wind,101113.60699999999,2013
2013-06,bio,11194.208999999999,2013
2013-06,coal,790906.091,2013
2013-06,distillate,21.407,2013
2013-06,gas,581729.065,2013
2013-06,other,0.0,2013
2013-06,solar,1528.8990000000001,2013
2013-06,wind,93114.178,2013
2013-07,bio,11566.979,2013
2013-07,coal,759776.111,2013
2013-07,distillate,41.998999999999995,2013
2013-07,gas,711244.949,2013
2013-07,other,0.0,2013
2013-07,solar,1602.94,2013
2013-07,wind,111143.61,2013
2013-08,bio,12214.087,2013
2013-08,coal,758524.3150000001,2013
2013-08,distillate,59.599,2013
2013-08,gas,617784.906,2013
2013-08,other,0.0,2013
2013-08,solar,1578.361,2013
2013-08,wind,110906.261,2013
2013-09,bio,11934.703,2013
2013-09,coal,673739.35,2013
2013-09,distillate,0.07200000000000001,2013
2013-09,gas,612574.677,2013
2013-09,other,0.0,2013
2013-09,solar,1720.537,2013
2013-09,wind,130036.621,2013
2013-10,bio,11746.104,2013
2013-10,coal,601006.423,2013
2013-10,distillate,0.067,2013
2013-10,gas,708454.5490000001,2013
2013-10,other,0.0,2013
2013-10,solar,2262.608,2013
2013-10,wind,117331.732,2013
2013-11,bio,11687.984,2013
2013-11,coal,597168.079,2013
2013-11,distillate,34.471000000000004,2013
2013-11,gas,688366.235,2013
2013-11,other,0.0,2013
2013-11,solar,2203.675,2013
2013-11,wind,151748.544,2013
2013-12,bio,11174.276000000002,2013
2013-12,coal,791933.701,2013
2013-12,distillate,109.946,2013
2013-12,gas,634932.076,2013
2013-12,other,0.0,2013
2013-12,solar,2329.11,2013
2013-12,wind,152471.174,2013
2014-01,bio,10699.905,2014
2014-01,coal,856339.254,2014
2014-01,distillate,70.215,2014
2014-01,gas,705355.486,2014
2014-01,other,0.0,2014
2014-01,solar,2021.761,2014
2014-01,wind,172443.448,2014
2014-02,bio,9709.172999999999,2014
2014-02,coal,783765.276,2014
2014-02,distillate,24.792,2014
2014-02,gas,638784.975,2014
2014-02,other,0.0,2014
2014-02,solar,2032.823,2014
2014-02,wind,158197.113,2014
2014-03,bio,10351.451000000001,2014
2014-03,coal,862784.397,2014
2014-03,distillate,25.206,2014
2014-03,gas,622539.014,2014
2014-03,other,0.0,2014
2014-03,solar,1987.865,2014
2014-03,wind,133263.899,2014
2014-04,bio,10013.404999999999,2014
2014-04,coal,701985.529,2014
2014-04,distillate,1136.4479999999999,2014
2014-04,gas,592594.742,2014
2014-04,other,0.0,2014
2014-04,solar,1708.253,2014
2014-04,wind,106146.389,2014
2014-05,bio,10519.714,2014
2014-05,coal,808813.208,2014
2014-05,distillate,17.688,2014
2014-05,gas,613784.077,2014
2014-05,other,0.0,2014
2014-05,solar,1364.995,2014
2014-05,wind,88169.569,2014
2014-06,bio,9402.236,2014
2014-06,coal,752924.178,2014
2014-06,distillate,234.126,2014
2014-06,gas,673181.751,2014
2014-06,other,0.0,2014
2014-06,solar,1465.553,2014
2014-06,wind,132514.104,2014
2014-07,bio,10321.482,2014
2014-07,coal,644585.805,2014
2014-07,distillate,73.881,2014
2014-07,gas,876013.166,2014
2014-07,other,0.0,2014
2014-07,solar,1507.983,2014
2014-07,wind,115130.22899999999,2014
2014-08,bio,11274.242,2014
2014-08,coal,691200.5109999999,2014
2014-08,distillate,0.138,2014
2014-08,gas,707421.43,2014
2014-08,other,0.0,2014
2014-08,solar,1675.213,2014
2014-08,wind,112587.184,2014
2014-09,bio,11130.172999999999,2014
2014-09,coal,697666.335,2014
2014-09,distillate,784.408,2014
2014-09,gas,592581.512,2014
2014-09,other,0.0,2014
2014-09,solar,1679.975,2014
2014-09,wind,122227.47499999999,2014
2014-10,bio,11236.901,2014
2014-10,coal,696457.105,2014
2014-10,distillate,4.35,2014
2014-10,gas,607802.511,2014
2014-10,other,0.0,2014
2014-10,solar,2087.145,2014
2014-10,wind,122771.33499999999,2014
2014-11,bio,10231.555,2014
2014-11,coal,616479.157,2014
2014-11,distillate,1.852,2014
2014-11,gas,678910.115,2014
2014-11,other,0.0,2014
2014-11,solar,2145.493,2014
2014-11,wind,128681.57699999999,2014
2014-12,bio,9539.415,2014
2014-12,coal,727748.062,2014
2014-12,distillate,453.976,2014
2014-12,gas,616565.076,2014
2014-12,other,0.0,2014
2014-12,solar,2367.554,2014
2014-12,wind,169368.818,2014
2015-01,bio,9093.549,2015
2015-01,coal,757013.869,2015
2015-01,distillate,227.88299999999998,2015
2015-01,gas,776416.524,2015
2015-01,other,0.0,2015
2015-01,solar,2303.74,2015
2015-01,wind,163672.017,2015
2015-02,bio,8841.218,2015
2015-02,coal,747197.332,2015
2015-02,distillate,110.691,2015
2015-02,gas,726218.626,2015
2015-02,other,0.0,2015
2015-02,solar,1867.144,2015
2015-02,wind,117381.83700000001,2015
2015-03,bio,10121.475999999999,2015
2015-03,coal,839689.611,2015
2015-03,distillate,100.70200000000001,2015
2015-03,gas,634724.033,2015
2015-03,other,0.0,2015
2015-03,solar,1848.737,2015
2015-03,wind,112016.29999999999,2015
2015-04,bio,9744.249,2015
2015-04,coal,649487.089,2015
2015-04,distillate,30.022000000000002,2015
2015-04,gas,597552.583,2015
2015-04,other,0.0,2015
2015-04,solar,1574.248,2015
2015-04,wind,143216.465,2015
2015-05,bio,9015.508,2015
2015-05,coal,768419.544,2015
2015-05,distillate,13.781,2015
2015-05,gas,604740.187,2015
2015-05,other,0.0,2015
2015-05,solar,1673.018,2015
2015-05,wind,138636.88,2015
2015-06,bio,10050.662,2015
2015-06,coal,743510.279,2015
2015-06,distillate,128.894,2015
2015-06,gas,642657.004,2015
2015-06,other,0.0,2015
2015-06,solar,1282.166,2015
2015-06,wind,122216.628,2015
2015-07,bio,11069.256000000001,2015
2015-07,coal,786369.204,2015
2015-07,distillate,14.126999999999999,2015
2015-07,gas,692658.823,2015
2015-07,other,0.0,2015
2015-07,solar,1318.807,2015
2015-07,wind,113133.313,2015
2015-08,bio,10873.443,2015
2015-08,coal,684783.431,2015
2015-08,distillate,15.445,2015
2015-08,gas,729111.644,2015
2015-08,other,0.0,2015
2015-08,solar,1572.738,2015
2015-08,wind,118315.459,2015
2015-09,bio,9808.057,2015
2015-09,coal,655488.14,2015
2015-09,distillate,6.516,2015
2015-09,gas,637529.421,2015
2015-09,other,0.0,2015
2015-09,solar,2018.659,2015
2015-09,wind,126510.338,2015
2015-10,bio,10298.958999999999,2015
2015-10,coal,653626.816,2015
2015-10,distillate,962.167,2015
2015-10,gas,671892.15,2015
2015-10,other,0.0,2015
2015-10,solar,2020.773,2015
2015-10,wind,106849.658,2015
2015-11,bio,10120.771,2015
2015-11,coal,796970.5109999999,2015
2015-11,distillate,506.615,2015
2015-11,gas,549196.956,2015
2015-11,other,0.0,2015
2015-11,solar,2030.55,2015
2015-11,wind,131571.228,2015
2015-12,bio,11062.155999999999,2015
2015-12,coal,778403.63,2015
2015-12,distillate,16.171,2015
2015-12,gas,606228.68,2015
2015-12,other,0.0,2015
2015-12,solar,2205.776,2015
2015-12,wind,164518.734,2015
2016-01,bio,11022.974,2016
2016-01,coal,832111.309,2016
2016-01,distillate,15.518,2016
2016-01,gas,744942.976,2016
2016-01,solar,1948.301,2016
2016-01,wind,123381.87999999999,2016
2016-02,bio,10336.207,2016
2016-02,coal,837533.078,2016
2016-02,distillate,189.5,2016
2016-02,gas,640944.253,2016
2016-02,solar,2163.177,2016
2016-02,wind,140801.98,2016
2016-03,bio,10718.687,2016
2016-03,coal,790276.422,2016
2016-03,distillate,41.708,2016
2016-03,gas,692630.073,2016
2016-03,solar,1990.28,2016
2016-03,wind,143128.38,2016
2016-04,bio,10292.688,2016
2016-04,coal,731563.1309999999,2016
2016-04,distillate,64.472,2016
2016-04,gas,561164.005,2016
2016-04,solar,1568.231,2016
2016-04,wind,107492.096,2016
2016-05,bio,10411.355,2016
2016-05,coal,703527.1159999999,2016
2016-05,distillate,5.276,2016
2016-05,gas,724182.809,2016
2016-05,solar,1394.098,2016
2016-05,wind,84739.034,2016
2016-06,bio,9962.878,2016
2016-06,coal,837732.786,2016
2016-06,distillate,14.854,2016
2016-06,gas,659683.76,2016
2016-06,solar,1089.964,2016
2016-06,wind,96432.69,2016
2016-07,bio,10402.591,2016
2016-07,coal,907175.526,2016
2016-07,distillate,106.45599999999999,2016
2016-07,gas,602375.2270000001,2016
2016-07,solar,1380.946,2016
2016-07,wind,139393.856,2016
2016-08,bio,11488.076,2016
2016-08,coal,871133.81,2016
2016-08,distillate,9.882,2016
2016-08,gas,648474.942,2016
2016-08,solar,1582.865,2016
2016-08,wind,118993.954,2016
2016-09,bio,10797.162,2016
2016-09,coal,714565.0630000001,2016
2016-09,distillate,0.129,2016
2016-09,gas,692489.023,2016
2016-09,solar,1875.399,2016
2016-09,wind,117064.12,2016
2016-10,bio,11591.09,2016
2016-10,coal,743642.7119999999,2016
2016-10,distillate,109.86,2016
2016-10,gas,520899.439,2016
2016-10,solar,2161.289,2016
2016-10,wind,143990.766,2016
2016-11,bio,10544.458,2016
2016-11,coal,718041.802,2016
2016-11,distillate,89.166,2016
2016-11,gas,558103.611,2016
2016-11,solar,2226.957,2016
2016-11,wind,138275.858,2016
2016-12,bio,10893.621000000001,2016
2016-12,coal,740410.025,2016
2016-12,distillate,79.959,2016
2016-12,gas,563910.291,2016
2016-12,solar,2343.885,2016
2016-12,wind,168928.987,2016
2017-01,bio,10585.769,2017
2017-01,coal,786617.228,2017
2017-01,distillate,0.0,2017
2017-01,gas,639638.286,2017
2017-01,solar,2174.751,2017
2017-01,wind,151567.298,2017
2017-02,bio,9546.666000000001,2017
2017-02,coal,716021.529,2017
2017-02,distillate,30.234,2017
2017-02,gas,600080.4789999999,2017
2017-02,solar,1855.237,2017
2017-02,wind,133837.146,2017
2017-03,bio,9635.624,2017
2017-03,coal,774609.617,2017
2017-03,distillate,0.0,2017
2017-03,gas,658666.1140000001,2017
2017-03,solar,2004.477,2017
2017-03,wind,130886.03600000001,2017
2017-04,bio,8281.171,2017
2017-04,coal,723134.139,2017
2017-04,distillate,56.047,2017
2017-04,gas,542126.0109999999,2017
2017-04,solar,1883.544,2017
2017-04,wind,115001.751,2017
2017-05,bio,10967.255,2017
2017-05,coal,760058.378,2017
