event,start,end,duration_days,mean_intensity_c,max_intensity_c,peak_date,severity_ratio,category
73,2014-08-24,2014-09-16,24,1.0219591072010437,1.6111982116244405,2014-09-03,2.179561419190924,II Strong
74,2015-09-17,2015-11-01,46,1.7830751489790415,2.5124223354646347,2015-10-11,2.842363281021565,II Strong
75,2016-07-19,2016-07-23,5,1.0311618800378226,1.0775791548483298,2016-07-23,1.3323886721018587,I Moderate
76,2017-03-01,2017-03-09,9,1.8124980049036086,2.1262727753473385,2017-03-07,1.6250672892112075,I Moderate
77,2018-01-19,2018-01-24,6,2.2467239763017735,2.4578302485457435,2018-01-22,1.555583037769376,I Moderate
78,2018-03-22,2018-03-26,5,1.3051983366184323,1.5382684646571505,2018-03-23,1.4326298779918227,I Moderate
79,2019-03-30,2019-04-03,5,1.5244628367225879,1.8914753136868327,2019-03-31,1.7336534270437123,I Moderate
80,2019-12-01,2019-12-07,7,1.5201603105162091,1.7404107655080736,2019-12-02,1.4676421673096087,I Moderate
81,2019-12-26,2019-12-31,6,1.7050361937535932,1.8468043485965708,2019-12-31,1.262710787459057,I Moderate
82,2020-01-12,2020-01-20,9,1.9164798447175495,2.3130051193458705,2020-01-16,1.4571580878508312,I Moderate
83,2020-07-03,2020-07-18,16,1.184835835216256,1.785254827492274,2020-07-16,2.184406438698848,II Strong
84,2020-08-18,2020-08-23,6,1.128261544583862,1.266236046343927,2020-08-22,1.6106791814496453,I Moderate
85,2020-09-06,2020-09-18,13,0.7741053450339546,0.9618615611428964,2020-09-15,1.3188422225349148,I Moderate
86,2020-09-24,2020-10-01,8,0.8978905160809583,0.9707985834014394,2020-09-26,1.1747510738281677,I Moderate
87,2020-12-06,2020-12-16,11,1.985838992805607,2.6315513677226967,2020-12-08,2.1851674844376534,II Strong
88,2020-12-29,2021-01-26,29,2.2602168923036987,2.9275869859468138,2021-01-19,1.8536389640417203,I Moderate
89,2021-11-26,2021-11-30,5,1.6903145553899663,1.8536824191144667,2021-11-29,1.567095076063051,I Moderate
90,2022-02-14,2022-02-23,10,2.2791280691633427,2.6766232392673537,2022-02-17,1.568728685001228,I Moderate
91,2022-06-15,2022-06-19,5,0.931495601173016,1.0481281989647862,2022-06-17,1.2764069919554737,I Moderate
92,2022-12-26,2022-12-30,5,1.5740596119653247,1.7897660171061034,2022-12-29,1.2270353272717454,I Moderate
93,2023-10-13,2023-10-26,14,1.7776214376140376,2.3623946444882513,2023-10-17,2.4659307807509103,II Strong
