year,facility,state,emitter,baseline_t,covered_t,net_t,accus_surrendered,smcs_surrendered,smcs_issued,regime,baseline_mymp_cumulative,facility_id,sector
2017,Prelude Floating Liquified Natural Gas,WA,SHELL AUSTRALIA PTY LTD,2725687.0,253656.0,253656.0,0.0,0.0,0.0,original,False,PRELUDE FLOATING LIQUIFIED NATURAL GAS,Other
2017,Pluto LNG,WA,WOODSIDE BURRUP PTY. LTD.,2385534.0,1931136.0,1931136.0,0.0,0.0,0.0,original,False,PLUTO LNG,LNG / oil and gas
2017,Cockburn Operations,WA,ADELAIDE BRIGHTON LIMITED,1839661.0,1020189.0,1020189.0,0.0,0.0,0.0,original,False,COCKBURN OPERATIONS,Other manufacturing
2017,YPF AMMONIA PLANT,WA,YARA PILBARA FERTILISERS PTY LTD,1623773.0,1512492.0,1512492.0,0.0,0.0,0.0,original,False,YPF AMMONIA PLANT,Other manufacturing
2017,Pinjarra Alumina Refinery,WA,ALCOA OF AUSTRALIA LIMITED,1550868.0,1490263.0,1490263.0,0.0,0.0,0.0,original,False,PINJARRA ALUMINA REFINERY,Alumina and metals
2017,Wagerup Alumina Refinery,WA,ALCOA OF AUSTRALIA LIMITED,1481761.0,1448358.0,1448358.0,0.0,0.0,0.0,original,False,WAGERUP ALUMINA REFINERY,Alumina and metals
2017,CSBP Kwinana Facility,WA,CSBP LIMITED,1319204.0,601148.0,601148.0,0.0,0.0,0.0,original,False,CSBP KWINANA FACILITY,Other manufacturing
2017,Kwinana Alumina Refinery,WA,ALCOA OF AUSTRALIA LIMITED,1309104.0,1250831.0,1250831.0,0.0,0.0,0.0,original,False,KWINANA ALUMINA REFINERY,Alumina and metals
2017,Sino Iron Project – Cape Preston,WA,CITIC PACIFIC MINING MANAGEMENT PTY LTD,1293069.0,1179835.0,1179835.0,0.0,0.0,0.0,original,False,SINO IRON PROJECT CAPE PRESTON,Metal ore mining
2017,Kwinana Refinery,WA,BP REFINERY (KWINANA) PROPRIETARY LIMITED,739256.0,727543.0,727543.0,0.0,0.0,0.0,original,False,KWINANA REFINERY,Other
2017,Pilbara Rail Operations,WA,PILBARA IRON PTY LTD,705421.0,684091.0,684091.0,0.0,0.0,0.0,original,False,PILBARA RAIL OPERATIONS,Transport
2017,Telfer Gold Mine,WA,NEWCREST MINING LIMITED,632775.0,535825.0,535825.0,0.0,0.0,0.0,original,False,TELFER GOLD MINE,Metal ore mining
2017,Varanus Hub,WA,QUADRANT ENERGY AUSTRALIA LIMITED,620263.0,288711.0,288711.0,0.0,0.0,0.0,original,False,VARANUS HUB,LNG / oil and gas
2017,Vincent Project Venture,WA,WOODSIDE ENERGY LTD.,598755.0,192623.0,192623.0,0.0,0.0,0.0,original,False,VINCENT PROJECT VENTURE,LNG / oil and gas
2017,Murrin Murrin Operations,WA,MURRIN MURRIN OPERATIONS PTY LTD,568485.0,513365.0,513365.0,0.0,0.0,0.0,original,False,MURRIN MURRIN OPERATIONS,Metal ore mining
2017,Christmas Creek Mine,WA,CHICHESTER METALS PTY LTD,556084.0,432730.0,432730.0,0.0,0.0,0.0,original,False,CHRISTMAS CREEK MINE,Metal ore mining
2017,Ningaloo Vision FPSO,WA,QUADRANT ENERGY AUSTRALIA LIMITED,547856.0,218175.0,218175.0,0.0,0.0,0.0,original,False,NINGALOO VISION FPSO,LNG / oil and gas
2017,PRL03 Rail - IOR Facility,WA,BHP BILLITON IRON ORE PTY. LTD.,531328.0,509184.0,509184.0,0.0,0.0,0.0,original,False,PRL03 RAIL IOR FACILITY,Transport
2017,Cloudbreak Mine,WA,CHICHESTER METALS PTY LTD,503395.0,379620.0,379620.0,0.0,0.0,0.0,original,False,CLOUDBREAK MINE,Metal ore mining
2017,Roy Hill Mine,WA,ROY HILL HOLDINGS PTY LTD,386581.0,391919.0,386581.0,5338.0,0.0,0.0,original,False,ROY HILL MINE,Metal ore mining
2017,Solomon Mine,WA,FMG SOLOMON PTY LTD,377697.0,334667.0,334667.0,0.0,0.0,0.0,original,False,SOLOMON MINE,Metal ore mining
2017,Chandala Processing Plant,WA,TRONOX MANAGEMENT PTY LTD,374904.0,242617.0,242617.0,0.0,0.0,0.0,original,False,CHANDALA PROCESSING PLANT,Other manufacturing
2017,Newman Power Station,WA,ALINTA ENERGY TRANSMISSION (ROY HILL) PTY LTD,371903.0,188790.0,188790.0,0.0,0.0,0.0,original,False,NEWMAN POWER STATION,Electricity
2017,DBNGP,WA,DBNGP (WA) TRANSMISSION PTY LIMITED,360901.0,251197.0,251197.0,0.0,0.0,0.0,original,False,DBNGP,Transport
2017,ARC01 Mining Area C - MNG Facility,WA,BHP BILLITON IRON ORE PTY. LTD.,354064.0,325339.0,325339.0,0.0,0.0,0.0,original,False,ARC01 MINING AREA C MNG FACILITY,Metal ore mining
2017,Yarnima Power Station,WA,BHP BILLITON IRON ORE PTY. LTD.,333116.0,309875.0,309875.0,0.0,0.0,0.0,original,False,YARNIMA POWER STATION,Electricity
2017,Kwinana Pigment Plant,WA,TRONOX MANAGEMENT PTY LTD,324572.0,311838.0,311838.0,0.0,0.0,0.0,original,False,KWINANA PIGMENT PLANT,Other manufacturing
2017,South West Synthetic Rutile Operations,WA,ILUKA RESOURCES LIMITED,323579.0,252765.0,252765.0,0.0,0.0,0.0,original,False,SOUTH WEST SYNTHETIC RUTILE OPERATIONS,Metal ore mining
2017,Brockman 2 / Nammuldi Mines,WA,HAMERSLEY IRON PTY. LIMITED,316854.0,255798.0,255798.0,0.0,0.0,0.0,original,False,BROCKMAN 2 NAMMULDI MINES,Metal ore mining
2017,Enfield Project Venture,WA,WOODSIDE ENERGY LTD.,309673.0,200381.0,200381.0,0.0,0.0,0.0,original,False,ENFIELD PROJECT VENTURE,Other
2017,Tropicana Gold Mine,WA,ANGLOGOLD ASHANTI AUSTRALIA LIMITED,283693.0,253779.0,253779.0,0.0,0.0,0.0,original,False,TROPICANA GOLD MINE,Metal ore mining
2017,MWB01 Mt Whaleback Mine - MNG Facility,WA,BHP BILLITON IRON ORE PTY. LTD.,253714.0,216854.0,216854.0,0.0,0.0,0.0,original,False,MWB01 MT WHALEBACK MINE MNG FACILITY,Other
2017,West Angelas Mine,WA,ROBE RIVER MINING CO. PTY. LTD.,244656.0,221493.0,221493.0,0.0,0.0,0.0,original,False,WEST ANGELAS MINE,Metal ore mining
2017,Fimiston,WA,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,238394.0,193366.0,193366.0,0.0,0.0,0.0,original,False,FIMISTON,Other
2017,Mt Keith Power Station,WA,TEC DESERT PTY LTD,233797.0,222682.0,222682.0,0.0,0.0,0.0,original,False,MT KEITH POWER STATION,Electricity
2017,Jimblebar Mine,WA,BHP BILLITON IRON ORE PTY. LTD.,225310.0,240050.0,225310.0,14740.0,0.0,0.0,original,False,JIMBLEBAR MINE,Metal ore mining
2017,AWR Rail Freight WA,WA,AUSTRALIA WESTERN RAILROAD PTY LTD,216451.0,160565.0,160565.0,0.0,0.0,0.0,original,False,AWR RAIL FREIGHT WA,Other
2017,Boddington Mine,WA,NEWMONT BODDINGTON PTY LTD,208038.0,187137.0,187137.0,0.0,0.0,0.0,original,False,BODDINGTON MINE,Other
2017,YAN01 Yandi/Marillana Creek Mine - MNG Facility,WA,BHP BILLITON IRON ORE PTY. LTD.,195783.0,179972.0,179972.0,0.0,0.0,0.0,original,False,YAN01 YANDI MARILLANA CREEK MINE MNG FACILITY,Metal ore mining
2017,Tom Price Mine / WTS,WA,HAMERSLEY IRON PTY. LIMITED,195096.0,150295.0,150295.0,0.0,0.0,0.0,original,False,TOM PRICE MINE WTS,Metal ore mining
2017,NKW01 Nickel West Kwinana Facility,WA,BHP BILLITON NICKEL WEST PTY LTD,181233.0,161594.0,161594.0,0.0,0.0,0.0,original,False,NKW01 NICKEL WEST KWINANA FACILITY,Alumina and metals
2017,Leinster Power Station,WA,TEC DESERT PTY LTD,173336.0,169107.0,169107.0,0.0,0.0,0.0,original,False,LEINSTER POWER STATION,Electricity
2017,NKS01 Nickel West Kalgoorlie Facility,WA,BHP BILLITON NICKEL WEST PTY LTD,166573.0,163414.0,163414.0,0.0,0.0,0.0,original,False,NKS01 NICKEL WEST KALGOORLIE FACILITY,Alumina and metals
2017,Marandoo Mine,WA,HAMERSLEY IRON PTY. LIMITED,160856.0,130849.0,130849.0,0.0,0.0,0.0,original,False,MARANDOO MINE,Metal ore mining
2017,ATCO Gas Australia Pty Ltd,WA,ATCO GAS AUSTRALIA GP PTY LTD,159142.0,159734.0,159142.0,592.0,0.0,0.0,original,False,ATCO GAS AUSTRALIA PTY LTD,Other
2017,Sunrise Dam,WA,ANGLOGOLD ASHANTI AUSTRALIA LIMITED,146375.0,125845.0,125845.0,0.0,0.0,0.0,original,False,SUNRISE DAM,Metal ore mining
2017,Hope Downs 1 Mine,WA,HAMERSLEY HMS PTY LTD,146322.0,142053.0,142053.0,0.0,0.0,0.0,original,False,HOPE DOWNS 1 MINE,Metal ore mining
2017,Brockman 4 Mine,WA,HAMERSLEY IRON PTY. LIMITED,144745.0,132773.0,132773.0,0.0,0.0,0.0,original,False,BROCKMAN 4 MINE,Metal ore mining
2017,Paraburdoo Mine,WA,HAMERSLEY IRON PTY. LIMITED,131529.0,112186.0,112186.0,0.0,0.0,0.0,original,False,PARABURDOO MINE,Metal ore mining
2017,Yandicoogina Mine,WA,HAMERSLEY IRON - YANDI PTY LIMITED,129106.0,139207.0,129106.0,10101.0,0.0,0.0,original,False,YANDICOOGINA MINE,Metal ore mining
2017,Jundee Gold Mine,WA,NORTHERN STAR RESOURCES LIMITED,124432.0,101749.0,101749.0,0.0,0.0,0.0,original,False,JUNDEE GOLD MINE,Metal ore mining
2017,Solomon Power Station,WA,FMG SOLOMON PTY LTD,123473.0,115169.0,115169.0,0.0,0.0,0.0,original,False,SOLOMON POWER STATION,Electricity
2017,Kemerton Silicon Smelter,WA,SIMCOA OPERATIONS PTY. LTD.,103809.0,102882.0,102882.0,0.0,0.0,0.0,original,False,KEMERTON SILICON SMELTER,Alumina and metals
2017,RMS PORT HEDLAND,WA,RIVET MINING SERVICES PTY LTD,100000.0,100646.0,100000.0,646.0,0.0,0.0,original,False,RMS PORT HEDLAND,Other
2017,Solomon Power Station,WA,TEC PIPE PTY LTD,62493.0,58143.0,58143.0,0.0,0.0,0.0,original,False,SOLOMON POWER STATION,Electricity
2018,ATCO Gas Australia Pty Ltd,WA,ATCO GAS AUSTRALIA GP PTY LTD,159142.0,166574.0,159142.0,7432.0,0.0,0.0,original,False,ATCO GAS AUSTRALIA PTY LTD,Other
2018,Brockman 2 / Nammuldi Mines,WA,HAMERSLEY IRON PTY. LIMITED,316854.0,252090.0,252090.0,0.0,0.0,0.0,original,False,BROCKMAN 2 NAMMULDI MINES,Metal ore mining
2018,Brockman 4 Mine,WA,HAMERSLEY IRON PTY. LIMITED,144745.0,134937.0,134937.0,0.0,0.0,0.0,original,False,BROCKMAN 4 MINE,Metal ore mining
2018,FLNG,WA,SHELL AUSTRALIA PTY LTD,2725687.0,2317273.0,2317273.0,0.0,0.0,0.0,original,False,FLNG,LNG / oil and gas
2018,Hope Downs 1 Mine,WA,HAMERSLEY HMS PTY LTD,146322.0,148347.0,146322.0,2025.0,0.0,0.0,original,False,HOPE DOWNS 1 MINE,Metal ore mining
2018,Jundee Gold Mine,WA,NORTHERN STAR RESOURCES LTD,124432.0,107881.0,107881.0,0.0,0.0,0.0,original,False,JUNDEE GOLD MINE,Metal ore mining
2018,Kemerton Silicon Smelter,WA,SIMCOA OPERATIONS PTY. LTD.,103809.0,105739.0,103809.0,1930.0,0.0,0.0,original,False,KEMERTON SILICON SMELTER,Alumina and metals
2018,Marandoo Mine,WA,HAMERSLEY IRON PTY. LIMITED,160856.0,147503.0,147503.0,0.0,0.0,0.0,original,False,MARANDOO MINE,Metal ore mining
2018,NKW01 Nickel West Kwinana Facility,WA,BHP BILLITON NICKEL WEST PTY LTD,181233.0,164078.0,164078.0,0.0,0.0,0.0,original,False,NKW01 NICKEL WEST KWINANA FACILITY,Alumina and metals
2018,Paraburdoo Mine,WA,HAMERSLEY IRON PTY. LIMITED,131529.0,101184.0,101184.0,0.0,0.0,0.0,original,False,PARABURDOO MINE,Metal ore mining
2018,Pilbara Rail Operations,WA,PILBARA IRON PTY LTD,705421.0,625143.0,625143.0,0.0,0.0,0.0,original,False,PILBARA RAIL OPERATIONS,Transport
