year,regime,facility,parent,sector,covered_t,baseline_t,headroom_t,accus_surrendered,smcs_surrendered,smcs_issued,above_baseline
2018,original,Roy Hill Mine,Other,Metal ore mining,412588.0,,,0.0,0.0,0.0,False
2018,original,Solomon Mine,Fortescue,Metal ore mining,392995.0,,,0.0,0.0,0.0,False
2018,original,Wheatstone Project LNG Plant and Associated Facilities,Other,Other,64378.0,,,0.0,0.0,0.0,False
2018,original,AWR Rail Freight WA,Other,Other,109861.0,216451.0,106590.0,0.0,0.0,0.0,False
2018,original,Chandala Processing Plant,Other,Other manufacturing,251592.0,374904.0,123312.0,0.0,0.0,0.0,False
2018,original,Christmas Creek Mine,Fortescue,Metal ore mining,510900.0,556084.0,45184.0,0.0,0.0,0.0,False
2018,original,Cloudbreak Mine,Fortescue,Metal ore mining,401193.0,503395.0,102202.0,0.0,0.0,0.0,False
2018,original,Cockburn Operations,Other,Other manufacturing,947905.0,1839661.0,891756.0,0.0,0.0,0.0,False
2018,original,CSBP Kwinana Facility,Other,Other manufacturing,722204.0,1319204.0,597000.0,0.0,0.0,0.0,False
2018,original,DBNGP,Other,Transport,249283.0,360901.0,111618.0,0.0,0.0,0.0,False
2018,original,Granny Smith Mine Site,Other,Metal ore mining,102701.0,117516.0,14815.0,7271.0,0.0,0.0,False
2018,original,Kwinana Alumina Refinery,Alcoa,Alumina and metals,1258124.0,1309104.0,50980.0,0.0,0.0,0.0,False
2018,original,Kwinana Pigment Plant,Other,Other manufacturing,311503.0,324572.0,13069.0,0.0,0.0,0.0,False
2018,original,Kwinana Refinery,Other,Other,711680.0,739256.0,27576.0,0.0,0.0,0.0,False
2018,original,Leinster Power Station,Other,Electricity,169412.0,173336.0,3924.0,0.0,0.0,0.0,False
2018,original,Mt Keith Power Station,Other,Electricity,221404.0,233797.0,12393.0,0.0,0.0,0.0,False
2018,original,Murrin Murrin Operations,Other,Metal ore mining,502006.0,568485.0,66479.0,0.0,0.0,0.0,False
2018,original,MWB01 Mt Whaleback Mine - MNG Facility,BHP,Other,258438.0,253714.0,-4724.0,4724.0,0.0,0.0,True
2018,original,Newman Power Station,Other,Electricity,191945.0,371903.0,179958.0,0.0,0.0,0.0,False
2018,original,Newmont Goldcorp Boddington Operation,Other,Other,209503.0,208038.0,-1465.0,1465.0,0.0,0.0,True
2018,original,Ningaloo Vision FPSO,Other,LNG / oil and gas,303614.0,547856.0,244242.0,0.0,0.0,0.0,False
