station,station_name,water_year,total_ML,baseline_ML,anom_pct
616002,Darkin River - Pine Plantation,1974,27613.871999995994,3506.836050679745,687.4297971427401
616002,Darkin River - Pine Plantation,1975,4883.500799999428,3506.836050679745,39.25660422741571
616002,Darkin River - Pine Plantation,1976,754.0128000002882,3506.836050679745,-78.49877242324645
616002,Darkin River - Pine Plantation,1977,951.1776000001296,3506.836050679745,-72.87647365733683
616002,Darkin River - Pine Plantation,1978,7157.980799996935,3506.836050679745,104.11506829951387
616002,Darkin River - Pine Plantation,1979,49.93920000000727,3506.836050679745,-98.5759471136289
616002,Darkin River - Pine Plantation,1980,722.3904000000387,3506.836050679745,-79.40050833400053
616002,Darkin River - Pine Plantation,1981,6109.084800000871,3506.836050679745,74.20503016719933
616002,Darkin River - Pine Plantation,1982,462.6719999999604,3506.836050679745,-86.80656884685902
616002,Darkin River - Pine Plantation,1983,11918.620799996255,3506.836050679745,239.8682067753358
616002,Darkin River - Pine Plantation,1984,2657.5348669969053,3506.836050679745,-24.21844567037047
616002,Darkin River - Pine Plantation,1985,964.5696000002698,3506.836050679745,-72.4945909628908
616002,Darkin River - Pine Plantation,1986,3421.0944000004815,3506.836050679745,-2.44498600562304
616002,Darkin River - Pine Plantation,1987,1175.9040000001671,3506.836050679745,-66.46823566866674
616002,Darkin River - Pine Plantation,1988,6161.4432000008765,3506.836050679745,75.69806831450182
616002,Darkin River - Pine Plantation,1989,498.70079999999695,3506.836050679745,-85.77918121084298
616002,Darkin River - Pine Plantation,1990,2383.430399999693,3506.836050679745,-32.034735426604776
616002,Darkin River - Pine Plantation,1991,5011.200000000108,3506.836050679745,42.898040500888726
616002,Darkin River - Pine Plantation,1992,5647.449599999451,3506.836050679745,61.04116412584448
616002,Darkin River - Pine Plantation,1993,770.342399999987,3506.836050679745,-78.03312191196767
616002,Darkin River - Pine Plantation,1994,962.4960000002771,3506.836050679745,-72.55372118654613
616002,Darkin River - Pine Plantation,1995,3681.417600001449,3506.836050679745,4.978320822493654
616002,Darkin River - Pine Plantation,1996,14536.627200001754,3506.836050679745,314.52257789992944
616002,Darkin River - Pine Plantation,1997,911.6063999996845,3506.836050679745,-74.00487542544272
616002,Darkin River - Pine Plantation,1998,1615.507199999472,3506.836050679745,-53.9326282537123
616002,Darkin River - Pine Plantation,1999,4262.19839999914,3506.836050679745,21.539710964616667
616002,Darkin River - Pine Plantation,2000,3209.5008000008525,3506.836050679745,-8.47873257779641
616002,Darkin River - Pine Plantation,2001,13.392000000005634,3506.836050679745,-99.61811730555782
616002,Darkin River - Pine Plantation,2002,255.05279999990677,3506.836050679745,-92.72698249037138
616002,Darkin River - Pine Plantation,2003,3328.300799999472,3506.836050679745,-5.091063514237193
616002,Darkin River - Pine Plantation,2004,506.90880000012766,3506.836050679745,-85.54512407553608
616002,Darkin River - Pine Plantation,2005,4695.408000001297,3506.836050679745,33.89300019004784
616002,Darkin River - Pine Plantation,2006,0.0,3506.836050679745,-100.0
616002,Darkin River - Pine Plantation,2007,2439.9359999999115,3506.836050679745,-30.423436831985107
616002,Darkin River - Pine Plantation,2008,1988.4960000001581,3506.836050679745,-43.29657927365268
616002,Darkin River - Pine Plantation,2009,4166.1216000004615,3506.836050679745,18.800010601947715
616002,Darkin River - Pine Plantation,2010,0.0,3506.836050679745,-100.0
616002,Darkin River - Pine Plantation,2011,1170.2015999994603,3506.836050679745,-66.6308437837396
616002,Darkin River - Pine Plantation,2012,2.6784000000022816,3506.836050679745,-99.92362346111153
616002,Darkin River - Pine Plantation,2013,633.6575999997353,3506.836050679745,-81.93078915460245
616002,Darkin River - Pine Plantation,2014,108.86400000004078,3506.836050679745,-96.89566325808305
616002,Darkin River - Pine Plantation,2015,5.011200000003628,3506.836050679745,-99.857101959499
