site,season,days_vh,days_sev,ffdi_p99,ffdi_sum,season_span,n_days
merredin,2002,87,10,58.53648999999996,4963.4400000000005,201,212
merredin,2003,65,4,50.32644,4507.374,168,213
merredin,2004,92,11,62.19317999999997,5082.316,199,212
merredin,2005,50,3,56.82384999999981,3775.041,169,212
merredin,2006,74,2,49.82388999999999,4602.717000000001,195,212
merredin,2007,64,4,54.94387999999998,4480.619000000001,195,213
merredin,2008,53,3,53.6536099999999,4151.499,179,212
merredin,2009,90,11,63.489179999999955,5216.884,194,212
merredin,2010,63,3,50.27145999999991,4526.8369999999995,197,212
merredin,2011,51,1,46.64144,3908.5499999999997,195,213
merredin,2012,72,4,52.38112,4354.83,192,212
merredin,2013,69,7,51.5712,4795.117,173,212
merredin,2014,80,6,62.02996999999993,4705.091,210,212
merredin,2015,71,3,52.417599999999986,4250.545,166,213
merredin,2016,62,5,53.52101999999996,4194.746999999999,188,212
merredin,2017,55,2,42.498799999999974,4118.977,168,212
merredin,2018,74,2,48.42762999999999,4435.35,175,212
merredin,2019,87,12,62.542719999999996,5127.029,190,213
merredin,2020,82,2,48.99327999999996,4611.243,204,212
merredin,2021,86,6,54.52262999999996,4656.743,196,212
merredin,2022,72,4,54.327299999999966,4025.9359999999997,126,212
merredin,2023,90,6,62.92823999999999,5066.986000000001,184,213
merredin,2024,84,7,56.191799999999965,4764.326,192,212
merredin,2025,72,5,57.85336999999993,4485.425000000001,170,212
margaret_river,1941,7,0,29.252699999999976,1708.1509999999998,76,212
margaret_river,1942,0,0,21.823229999999988,1552.946,0,212
margaret_river,1943,2,0,24.416279999999997,1991.114,1,213
margaret_river,1944,12,0,27.652309999999993,2038.4840000000004,68,212
margaret_river,1945,0,0,22.41243999999999,1863.7299999999998,0,212
margaret_river,1946,2,0,23.56458999999996,1520.684,63,212
margaret_river,1947,3,0,25.456759999999992,1776.312,65,213
margaret_river,1948,1,0,23.18672999999999,1773.537,1,212
margaret_river,1949,0,0,20.837799999999984,1484.087,0,212
margaret_river,1950,0,0,14.012369999999997,1040.847,0,212
margaret_river,1951,0,0,17.303679999999996,1397.907,0,213
margaret_river,1952,0,0,15.519319999999997,1077.2359999999999,0,212
margaret_river,1953,1,0,15.01801999999998,1151.668,1,212
margaret_river,1954,0,0,15.274549999999968,1101.5300000000002,0,212
margaret_river,1955,0,0,15.491359999999998,1220.9769999999999,0,213
margaret_river,1956,0,0,13.216529999999999,1096.281,0,212
margaret_river,1957,0,0,16.147069999999978,1288.648,0,212
