sid,season,name,n_obs,min_dist_wa_km,peak_bom_wind_kt,min_bom_pres_hpa,peak_usa_wind_kt,min_usa_pres_hpa,peak_usa_sshs,peak_wmo_wind_kt,min_wmo_pres_hpa,date_peak,lat_peak,lon_peak,wa_affecting,decade
2001045S14142,2001,Wylva,66,223.4809780982023,40.0,988.0,,,-5,40.0,988.0,2001-02-15 18:00:00,-15.3,138.7,True,1995-04
2001054S15155,2001,Abigail,106,305.7370210976548,65.0,970.0,60.0,,0,65.0,970.0,2001-02-26 09:00:00,-16.6,138.9,True,1995-04
2001106S08137,2001,Alistair,117,31.395585116907135,60.0,975.0,65.0,,1,60.0,975.0,2001-04-18 16:00:00,-14.8,123.5,True,1995-04
2002033S13121,2002,Chris,75,105.13687242877734,110.0,915.0,125.0,916.0,4,110.0,915.0,2002-02-05 12:00:00,-19.2,120.3,True,1995-04
2002040S14130,2002,Unnamed,127,251.5600187635459,20.0,994.0,,,-5,20.0,994.0,2002-02-11 18:00:00,-12.8,132.5,True,1995-04
2002098S07133,2002,Bonnie,63,463.3746830436727,50.0,985.0,50.0,987.0,0,50.0,985.0,2002-04-12 00:00:00,-10.2,116.9,True,1995-04
2003004S10136,2003,Unnamed,174,38.22391223072157,50.0,988.0,,,-5,50.0,988.0,2003-01-05 09:00:00,-11.9,135.8,True,1995-04
2003056S17119,2003,Graham,43,39.42260206598343,40.0,985.0,40.0,994.0,0,40.0,985.0,2003-02-28 12:00:00,-19.0,120.9,True,1995-04
2003060S13103,2003,Harriet,79,263.10839184424844,45.0,985.0,35.0,997.0,0,45.0,985.0,2003-03-08 12:00:00,-20.2,112.4,True,1995-04
2003067S13130,2003,Craig,45,335.2273917334851,55.0,976.0,35.0,997.0,0,55.0,976.0,2003-03-10 21:00:00,-11.6,131.8,True,1995-04
2003088S07131,2003,Inigo,85,69.86056448217839,125.0,914.0,140.0,898.0,5,125.0,914.0,2003-04-04 06:00:00,-13.1,115.2,True,1995-04
2003350S10140,2004,Debbie,57,464.9206153952475,65.0,970.0,65.0,976.0,1,65.0,970.0,2003-12-19 15:00:00,-10.2,134.2,True,1995-04
2004001S16124,2004,Ken,43,0.0,,,35.0,997.0,0,,,2004-01-02 06:00:00,-16.5,120.2,True,1995-04
2004056S18125,2004,Monty,55,16.810371934533205,100.0,935.0,110.0,933.0,3,100.0,935.0,2004-02-29 09:00:00,-19.7,115.6,True,1995-04
2004058S13142,2004,Evan,50,44.387824443342964,35.0,991.0,30.0,1000.0,-1,35.0,991.0,2004-03-01 06:00:00,-13.8,137.4,True,1995-04
2004072S11146,2004,Fay,134,67.58821042065549,115.0,910.0,120.0,922.0,4,115.0,910.0,2004-03-21 06:00:00,-13.7,122.7,True,1995-04
2004365S13120,2005,Raymond,89,24.6968542096564,45.0,985.0,50.0,987.0,0,45.0,985.0,2005-01-02 00:00:00,-14.2,123.1,True,2005-14
2005013S14124,2005,Unnamed,43,247.74630565075722,,,35.0,997.0,0,,,2005-01-15 12:00:00,-14.6,117.2,True,2005-14
2005035S15118,2005,Vivienne,45,473.5155657804707,35.0,990.0,35.0,997.0,0,35.0,990.0,2005-02-08 00:00:00,-16.1,115.8,True,2005-14
2005067S12120,2005,Willy,51,481.0324288717649,75.0,960.0,90.0,954.0,2,75.0,960.0,2005-03-11 12:00:00,-17.3,112.1,True,2005-14
2005063S12141,2005,Ingrid,117,46.49529876235404,125.0,924.0,135.0,904.0,4,125.0,924.0,2005-03-11 18:00:00,-12.0,136.8,True,2005-14
2006006S11129,2006,Clare,37,59.300299795812,75.0,960.0,60.0,980.0,0,75.0,960.0,2006-01-09 03:00:00,-19.2,117.3,True,2005-14
2006017S15126,2006,Daryl,53,45.75529978914124,55.0,976.0,50.0,987.0,0,55.0,976.0,2006-01-19 18:00:00,-17.1,121.0,True,2005-14
2006057S12114,2006,Emma,33,102.85133767839504,40.0,988.0,35.0,997.0,0,40.0,988.0,2006-02-27 18:00:00,-19.5,115.4,True,2005-14
2006055S10138,2006,Unnamed,81,366.94376477065856,35.0,1001.0,,,-5,35.0,1001.0,2006-02-28 18:00:00,-9.1,130.3,True,2005-14
2006078S12119,2006,Floyd,71,272.0297580562606,105.0,916.0,115.0,927.0,4,105.0,916.0,2006-03-24 00:00:00,-15.1,108.2,True,2005-14
2006081S14129,2006,Glenda,76,0.0,110.0,910.0,120.0,922.0,4,110.0,910.0,2006-03-28 06:00:00,-16.1,121.1,True,2005-14
2006093S15115,2006,Hubert,47,31.176692890452923,50.0,980.0,55.0,984.0,0,50.0,980.0,2006-04-06 06:00:00,-18.3,115.5,True,2005-14
2006106S10153,2006,Monica,96,313.5531438532959,135.0,916.0,155.0,879.0,5,135.0,916.0,2006-04-23 06:00:00,-11.4,137.4,True,2005-14
2006365S12114,2007,Isobel,27,90.55327486021744,30.0,992.0,40.0,994.0,0,30.0,992.0,2007-01-01 18:00:00,-12.9,119.2,True,2005-14
2007058S12135,2007,George,119,30.26315884619561,110.0,902.0,110.0,941.0,3,110.0,902.0,2007-03-08 12:00:00,-19.9,119.0,True,2005-14
2007062S14119,2007,Jacob,81,13.718057700120895,70.0,971.0,75.0,967.0,1,70.0,971.0,2007-03-09 18:00:00,-15.8,109.7,True,2005-14
