#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: August, 2024"
#
#,"Daily streamflow (ML/day) and quality code"
#,"Quality code values are defined as:"
#,"  Best available data: A"
#,"  Good data: B"
#,"  Poor data: C"
#,"  Unreliable data: E"
#,"  Gap filled data: G"
#,"For detailed quality code mapping, see the report 'Streamflow quality codes for Hydrologic Reference Stations' at http://www.bom.gov.au/water/hrs/qc_doc.shtml"
#
#,"Murray River - Baden Powell (614006)"
#,"Catchment area:", 6772.9,"km^2"
#,"Location:", 116.0843,"degrees E", 32.7722,"degrees S"
#,"Source used:",WISKI (validated data only)
#,"Extraction method:",daily discharge total (cubic metres), reported at 9am local time for the previous 24 hours.
#,"Data gaps were in filled by using daily rainfall-runoff model"
#,"Data extraction date:",14/06/2024
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
Date,Flow (ML),Bureau QCode
1965-03-05,26.38817304296416,G
1965-03-06,26.714630046729102,G
1965-03-07,27.04308143418577,G
1965-03-08,27.37348198329042,G
1965-03-09,27.705787754583397,G
1965-03-10,28.039956047639347,G
1965-03-11,28.375945359143014,G
1965-03-12,28.71371534286137,G
1965-03-13,29.053226770699442,G
1965-03-14,29.39444149565256,G
1965-03-15,29.737322416045448,G
1965-03-16,30.081833441329053,G
1965-03-17,30.427939458893363,G
1965-03-18,30.77560630230251,G
1965-03-19,31.12480072068121,G
1965-03-20,31.47549034952365,G
1965-03-21,31.827643682111763,G
1965-03-22,32.181230042220506,G
1965-03-23,32.536219558313064,G
1965-03-24,32.892583137532945,G
1965-03-25,33.25029244193111,G
1965-03-26,33.60958430586836,G
1965-03-27,33.97112067093737,G
1965-03-28,34.33526736036353,G
1965-03-29,34.702269744190346,G
1965-03-30,35.06763536672033,G
1965-03-31,35.43272191671457,G
1965-04-01,35.79897785659096,G
1965-04-02,36.16638004605936,G
1965-04-03,36.534905916462385,G
1965-04-04,36.904533454452746,G
1965-04-05,37.27524118539959,G
1965-04-06,37.6470081579463,G
1965-04-07,38.01981392850064,G
1965-04-08,38.393638547147,G
1965-04-09,38.768462542949266,G
1965-04-10,39.14426691054048,G
1965-04-11,39.521033096577035,G
1965-04-12,39.89879863152651,G
1965-04-13,40.277690997757325,G
1965-04-14,40.65777594698904,G
1965-04-15,41.03909422356577,G
1965-04-16,41.420688169431436,G
1965-04-17,41.80283191893268,G
1965-04-18,42.185819737574526,G
1965-04-19,42.56963624823251,G
1965-04-20,42.95426642461847,G
1965-04-21,43.339695581256485,G
1965-04-22,43.725909364407315,G
1965-04-23,44.11289374211222,G
1965-04-24,44.500634996810454,G
1965-04-25,44.88911971660223,G
1965-04-26,45.278334786918094,G
1965-04-27,45.66826738286554,G
1965-04-28,46.05890496130467,G
1965-04-29,46.45023525339806,G
1965-04-30,46.842246257837814,G
1965-05-01,47.234932800263806,G
1965-05-02,47.628300549999686,G
1965-05-03,48.02234812903124,G
1965-05-04,48.41707141943525,G
1965-05-05,48.81308325575752,G
1965-05-06,49.21232879747162,G
1965-05-07,49.61594498590225,G
1965-05-08,50.03257360283636,G
1965-05-09,50.48333700765172,G
1965-05-10,51.026398821283934,G
1965-05-11,51.72029684619441,G
1965-05-12,52.45986773511965,G
1965-05-13,53.05377905639189,G
1965-05-14,53.48482719957338,G
1965-05-15,53.87288929026968,G
1965-05-16,54.261627113266734,G
1965-05-17,54.65103106276363,G
1965-05-18,55.04109809935376,G
1965-05-19,55.431816975688484,G
1965-05-20,55.82317846247243,G
1965-05-21,56.21517624302811,G
1965-05-22,56.60780565848084,G
1965-05-23,57.0239999999793,A
1965-05-24,100.48320000011451,A
1965-05-25,113.35679999972325,A
1965-05-26,114.30720000008074,A
1965-05-27,355.3631999998732,A
1965-05-28,529.6319999998499,A
1965-05-29,478.05120000033565,A
1965-05-30,721.6991999972855,A
1965-05-31,728.0063999988575,A
1965-06-01,655.3440000001567,A
1965-06-02,605.3183999997497,A
1965-06-03,582.2496000001235,A
1965-06-04,522.2015999998257,A
1965-06-05,522.4607999996769,A
1965-06-06,521.1647999997435,A
1965-06-07,616.6368000002512,A
1965-06-08,617.2415999996783,A
1965-06-09,705.4560000002883,A
1965-06-10,641.7792000000417,A
1965-06-11,595.7279999998366,A
1965-06-12,620.6111999997759,A
1965-06-13,536.2848000003204,A
1965-06-14,576.4608000002858,A
1965-06-15,584.495999999737,A
1965-06-16,587.0015999998791,A
1965-06-17,598.2335999999787,A
1965-06-18,547.8623999999958,A
1965-06-19,499.39200000005064,A
1965-06-20,478.3967999999114,A
1965-06-21,463.2473213130802,G
1965-06-22,469.83329725900654,G
1965-06-23,494.45267933942057,G
1965-06-24,481.1615999999047,A
1965-06-25,538.5311999999338,A
1965-06-26,611.1072000002647,A
1965-06-27,699.1487999987163,A
1965-06-28,968.0256000005998,A
1965-06-29,1202.7744000028838,A
1965-06-30,2051.9136000003873,A
1965-07-01,3636.143999999906,A
1965-07-02,5142.8735999971805,A
1965-07-03,6380.985599999872,A
1965-07-04,8342.956800033604,A
1965-07-05,8427.888000014875,A
1965-07-06,6501.427199999366,A
